Store,Rank,CY $,CY %,Budget $,Budget %,Var $,Var %,PY $,PY %,$ Change,% Change
,,"3,384,156.04",20.21%,"922,218.93",7.25%,"2,461,937.11",12.96%,"4,347,675.50",17.25%," (963,519.46)",2.96%
16th Avenue,1,"67,531.48",20.05%,"6,927.03",3.59%,"60,604.45",16.45%,"18,197.65",9.24%,"49,333.83",10.81%
170th Street,2,"59,886.76",19.24%," (20,255.11)", (14.79)%,"80,141.87",34.03%,"53,283.30",14.67%,"6,603.46",4.56%
Albert Street,3,"71,091.23",24.98%,"48,876.42",16.58%,"22,214.81",8.40%,"68,835.21",16.26%,"2,256.02",8.72%
Ambleside Beach,4,"128,036.20",25.01%,"83,615.24",17.57%,"44,420.96",7.44%,"92,128.82",16.24%,"35,907.38",8.77%
Assembly Row,5,"107,047.15",20.83%,"52,294.46",12.50%,"54,752.69",8.33%,"148,613.49",21.00%," (41,566.34)", (0.17)%
Bankers Hall,6,"41,036.55",13.73%," (46,717.42)", (46.55)%,"87,753.97",60.29%,"124,098.86",19.63%," (83,062.31)", (5.90)%
Barlow Trail,7,"33,969.80",12.64%," (15,147.71)", (10.93)%,"49,117.51",23.57%,"61,871.26",15.47%," (27,901.46)", (2.83)%
Beach House,8,"92,308.64",23.61%,"42,714.79",12.48%,"49,593.85",11.13%,"37,987.08",9.37%,"54,321.56",14.24%
Bellevue,9,"48,885.59",13.37%," (40,766.32)", (25.48)%,"89,651.91",38.85%,"114,309.41",18.25%," (65,423.82)", (4.88)%
Bridge Park,10,"146,842.46",32.88%,"71,899.31",18.92%,"74,943.15",13.96%,"95,117.30",18.27%,"51,725.16",14.61%
Burlington,11,"4,104.32",2.79%," (20,538.85)", (17.10)%,"24,643.17",19.89%,"56,251.07",13.83%," (52,146.75)", (11.03)%
Calgary Tin Palace,12,"98,854.03",23.02%,"4,620.57",2.35%,"94,233.46",20.67%,"133,351.76",21.97%," (34,497.73)",1.06%
Campus,13," (23,764.05)",-," (37,236.00)",-,"13,471.95",-,"49,626.45",14.12%," (73,390.50)",-
Clareview,14,"63,777.38",18.53%," (17,212.12)", (10.34)%,"80,989.50",28.86%,"67,090.12",15.35%," (3,312.74)",3.17%
Crossroads,15,"63,910.65",17.99%," (21,507.21)", (13.52)%,"85,417.86",31.51%,"99,510.37",18.84%," (35,599.72)", (0.85)%
Dadeland,16,"220,170.51",31.66%,"186,808.63",30.00%,"33,361.88",1.66%,"150,058.07",20.74%,"70,112.44",10.92%
Dalhousie,17,"111,763.99",22.74%,"4,517.50",1.76%,"107,246.49",20.97%,"100,352.98",17.40%,"11,411.01",5.34%
Edmonton Tin Palace,18,"77,371.13",19.56%," (19,661.90)", (11.60)%,"97,033.03",31.16%,"102,377.18",18.41%," (25,006.05)",1.15%
Fir Street,19,"137,430.31",27.18%,"91,304.42",18.82%,"46,125.89",8.36%,"132,868.20",20.82%,"4,562.11",6.36%
Glenarm,20," (41,958.91)",-," (38,753.00)",-," (3,205.91)",-,"74,920.43",15.82%," (116,879.34)",-
